h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
0,53.0,0.7174362677871489,-0.5564474660769082,256.0,2.0,2.835479959845543,4,12,13,12.36295,4,7,4,4.0623988,0.5,0,1,0.0,0.0,1.0,0.0,0.0,128.0,90.28453864083916,3.0,1.75,3.25,3.0907375,1.0,1.0155997
0,126.0,0.7174362677871489,0.11439495173904535,239.0,1.0,1.7450094670057297,5,15,17,14.95655,5,11,8,7.657414999999999,0.0,1,1,0.0,0.0,1.0,0.0,0.0,239.0,136.96200766755797,3.0,2.2,3.4,2.99131,1.6,1.531483
1,56.0,0.7174362677871489,-0.528878599591321,239.0,3.0,3.961707651615143,6,18,22,19.15025,6,4,5,5.9651703,0.3333333333333333,1,1,0.0,0.0,1.0,0.0,0.0,79.66666666666667,60.327520609089476,3.0,0.6666666666666666,3.6666666666666665,3.191708333333333,0.8333333333333334,0.99419505
0,60.0,0.7174362677871489,-0.49212011094387154,241.0,3.0,3.7966708540916443,7,21,23,21.35824,7,11,11,10.034302,0.2857142857142857,0,1,0.0,0.0,1.0,0.0,0.0,80.33333333333333,63.476663967400825,3.0,1.5714285714285714,3.2857142857142856,3.0511771428571426,1.5714285714285714,1.4334717142857143
0,132.0,0.7174362677871489,0.1695326847102196,240.0,3.0,3.305693045258522,8,21,25,22.110053999999998,8,10,12,10.584209,0.25,1,1,0.0,0.0,1.0,0.0,0.0,80.0,72.60202224288214,2.625,1.25,3.125,2.7637567499999998,1.5,1.323026125
1,59.0,0.7174362677871489,-0.5013097331057339,240.0,4.0,2.748153939843178,9,24,28,24.603724,9,12,10,11.077063,0.3333333333333333,1,1,0.0,0.0,1.0,0.0,0.0,60.0,87.33135233817924,2.6666666666666665,1.3333333333333333,3.111111111111111,2.733747111111111,1.1111111111111112,1.2307847777777778
0,31.0,0.7174362677871489,-0.7586191536378805,231.0,5.0,3.8403953462839127,10,27,33,28.689004,10,24,7,10.223036,0.4,1,1,0.0,0.0,1.0,0.0,0.0,46.2,60.15005726520393,2.7,2.4,3.3,2.8689004000000002,0.7,1.0223036
1,35.0,0.7174362677871489,-0.721860664990431,249.0,7.0,5.206595301628113,11,30,37,31.204664,11,10,19,22.15089,0.09090909090909091,0,1,0.0,0.0,1.0,0.0,0.0,35.57142857142857,47.82395895493111,2.727272727272727,0.9090909090909091,3.3636363636363638,2.8367876363636366,1.7272727272727273,2.013717272727273
0,125.0,0.7174362677871489,0.10520532957718297,249.0,4.0,3.621070683002472,12,33,40,33.148644,12,15,10,14.875892,0.5,0,1,0.0,0.0,1.0,0.0,0.0,62.25,68.76419208518112,2.75,1.25,3.3333333333333335,2.762387,0.8333333333333334,1.2396576666666668
0,215.0,0.7174362677871489,0.9322713241447969,270.0,2.0,1.6854625344276428,13,33,40,33.662746,13,17,22,17.480089,0.15384615384615385,1,1,0.0,0.0,1.0,0.0,0.0,135.0,160.19341544823354,2.5384615384615383,1.3076923076923077,3.076923076923077,2.589442,1.6923076923076923,1.3446222307692308
