player_id,player,avg_delay,median_delay,std_delay,min_delay,max_delay,big_drought_freq,actual_delay,delay_score,reliability_score
647,Harry Kane,77.77319587628865,58.0,65.63638871887288,2.0,325.0,0.13402061855670103,22,-0.849729806360474,0.9068596352101508
3423,Kylian Mbappe-Lottin,90.75308641975309,72.0,78.64024587706308,2.0,419.0,0.1111111111111111,258,2.126734367561631,0.8724689180308216
9749,Donyell Malen,128.97142857142856,116.0,95.64840200820235,9.0,460.0,0.05714285714285714,77,-0.5433590889157953,0.7936784918512447
7108,Jonathan Burkardt,120.63157894736842,96.5,99.63837886771087,4.0,450.0,0.07894736842105263,0,-1.2106939145159124,0.7846773223506629
3738,Serhou Guirassy,110.15384615384616,71.0,121.2167777642124,1.0,633.0,0.1076923076923077,25,-0.7024922434374977,0.7415205555692856
6531,Alexander Sørloth,102.92727272727272,72.0,108.5653676696167,1.0,459.0,0.16363636363636364,48,-0.5059373344032322,0.7182115102951532
227,Robert Lewandowski,113.55172413793103,93.0,108.81840214824884,2.0,583.0,0.13793103448275862,197,0.7668581252312743,0.7174362677871489
8260,Erling Haaland,110.8,75.0,113.38442144768842,3.0,434.0,0.14666666666666667,0,-0.9772065561151115,0.7066727279544369
3277,Alexandre Lacazette,128.87878787878788,114.0,125.9533042380582,4.0,525.0,0.09090909090909091,9,-0.9517716792265396,0.6977752290413728
3226,Ousmane Dembélé,101.75,48.5,132.69805647992132,5.0,589.0,0.15625,278,1.3282033262233088,0.6866341224822412
5232,Alexander Isak,125.17391304347827,87.0,112.63634786294955,1.0,578.0,0.13043478260869565,71,-0.4809629757295971,0.6851444422312074
1235,Ante Budimir,146.0,105.5,112.38948450106483,9.0,446.0,0.09259259259259259,239,0.8274795494690509,0.6697802626237345
1236,Patrik Schick,104.44186046511628,61.0,118.8442963604423,2.0,600.0,0.18604651162790697,182,0.6526029595872065,0.6678302172981341
6496,Ermedin Demirovic,142.9268292682927,101.0,122.46864705791076,4.0,571.0,0.0975609756097561,176,0.2700541855097678,0.6544780497174195
7006,Lautaro Martínez,140.40384615384616,93.5,138.29866226727228,1.0,634.0,0.09615384615384616,134,-0.04630446924692778,0.6347829277317141
11736,Artem Dovbyk,144.02631578947367,94.0,136.89401835630153,2.0,685.0,0.13157894736842105,21,-0.8986975272306374,0.5837003987076989
10804,Deniz Undav,133.48888888888888,85.0,129.667866318358,14.0,542.0,0.17777777777777778,108,-0.19657058924922124,0.5721065141914703
6441,Ferrán Torres,128.375,73.0,155.3036048436074,-2.0,658.0,0.15625,89,-0.2535356474155967,0.5665763044721446
1250,Mohamed Salah,146.73584905660377,100.0,154.1995648681125,6.0,944.0,0.11320754716981132,138,-0.05665287748428846,0.5663747672529937
