strategy,nb_bets,prop_winning_bets,final_gain,max_cumulative_gain,max_cumulative_loss,max_gain_day,max_loss_day,roi,strat_score
strategy_1,603,0.5323383084577115,39.0,53.0,-1.0,4.0,-4.0,0.06467661691542288,7.053482587064677
strategy_2_1,255,0.6666666666666666,30.99999999999998,32.999999999999986,-2.9999999999999996,3.0,-3.0,0.12156862745098031,7.3333333333333295
strategy_2_2,478,0.606694560669456,12.000000000000014,26.000000000000014,1.0,4.0,-4.0,0.025104602510460282,3.9435146443514664
strategy_3,603,0.5323383084577115,321.0,321.0,-33.0,129.0,-96.0,0.13043478260869565,1.7800062189054726
strategy_4,603,0.5323383084577115,306.0,310.0,-21.0,255.0,-128.0,0.14868804664723032,1.2892568407960199
strategy_5_1,255,0.6666666666666666,112.99999999999997,113.99999999999997,-22.0,63.0,-32.0,0.14618369987063387,2.374999999999999
strategy_5_2,478,0.606694560669456,156.00000000000003,182.00000000000003,1.0,64.0,-32.0,0.119815668202765,3.4505753138075317
strategy_5_3,582,0.6219931271477663,217.00000000000006,229.00000000000006,-39.0,64.0,-34.0,0.13151515151515156,4.189306650495251
